"codice-isil";"denominazione";"indirizzo";"frazione";"cap";"comune";"codice istat comune";"provincia";"regione";"codice istat provincia";"latitudine";"longitudine";"telefono";"fax";"email";"url"
"IT-AG0029";"Istituzione Culturale Federico II";"Via C. Ognibene n. 4";"";"92013";"Menfi";"084023";"Agrigento";"SICILIA";"084";"37,598265";"12,96941";"+39 092570500";"+39 092570502";"istituzione@comune.menfi.ag.it";""
"IT-AG0030";"Biblioteca Comunale Antonio Gramsci";"Viale della Vittoria 113";"";"92010";"Montallegro";"084024";"Agrigento";"SICILIA";"084";"37,3890414";"13,3519453";"+39 0922845067";"";"bibliotecamontallegro@hotmail.it";""
"IT-AG0031";"Biblioteca Comunale Feliciana";"Piazza Garibaldi - Palazzo Comunale";"";"92028";"Naro";"084026";"Agrigento";"SICILIA";"084";"37,2948287";"13,7951239";"+39 0922953020";"+39 0922957324";"info@comune.naro.ag.it";""
"IT-AG0033";"Biblioteca comunale";"Via Cosenza";"";"92010";"Realmonte";"084032";"Agrigento";"SICILIA";"084";"37,3059103";"13,4639758";"+39 0922816365";"";"";""
"IT-AG0034";"Biblioteca comunale Vincenzo Navarro";"Via P. Caruso";"";"92017";"Sambuca di Sicilia";"084034";"Agrigento";"SICILIA";"084";"37,647385";"13,111555";"";"";"";""
"IT-AG0036";"Biblioteca comunale";"Corso Umberto 54";"";"92020";"San Biagio Platani";"084035";"Agrigento";"SICILIA";"084";"37,5093493";"13,526349";"";"";"";""
"IT-AG0037";"Biblioteca Comunale";"Via Omero";"";"92020";"San Giovanni Gemini";"084036";"Agrigento";"SICILIA";"084";"37,6304656";"13,6498055";"+39 0922900082";"+39 0922903336";"a.martorana@comune.sangiovannigemini.ag.it";""
"IT-AG0038";"Biblioteca Comunale";"Piazza Umberto I";"";"92020";"Sant'Angelo Muxaro";"084039";"Agrigento";"SICILIA";"084";"37,4803233";"13,5461917";"+39 0922919506";"+39 0922919805";"";""
"IT-AG0039";"Biblioteca Comunale";"Via Regione Siciliana n. 20";"";"92018";"Santa Margherita di Belice";"084038";"Agrigento";"SICILIA";"084";"37,6973237";"13,0113019";"+39 092533403";"+39 092533403";"biblioteca@comune.santamargheritadibelice.ag.it";""
"IT-AG0040";"Biblioteca comunale G. Ansalone";"Via L. Panepinto";"";"92020";"Santo Stefano Quisquina";"084040";"Agrigento";"SICILIA";"084";"37,623834";"13,4912204";"";"";"";""
"IT-AG0042";"Biblioteca Comunale Tommaso Fazello";"Via Roma n. 13";"";"92019";"Sciacca";"084041";"Agrigento";"SICILIA";"084";"37,50703";"13,082185";"+39 092520446";"+39 092220447";"bibliotecasciacca@yahoo.it";""
"IT-AG0043";"Biblioteca comunale Giuseppe Antonio Musso";"Via Campi";"";"92020";"Villafranca Sicula";"084043";"Agrigento";"SICILIA";"084";"37,5864134";"13,2906319";"";"";"";""
"IT-AG0044";"Biblioteca comunale Santo Spirito. Sezione esterna di Montaperto";"Presso Scuola elementare - Via S. Giuseppe";"Montaperto";"92010";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3111882";"13,576956";"+39 0922418164";"";"";""
"IT-AG0045";"Biblioteca comunale Santo Spirito. Sezione esterna di Villaseta";"Via XX settembre";"Villaseta";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,298694";"13,563071";"+39 0922597864";"";"";""
"IT-AG0051";"Biblioteca Comunale Falcone - Borsellino";"Piazza Luigi Ingo n. 8";"";"92010";"Alessandria della Rocca";"084002";"Agrigento";"SICILIA";"084";"37,5683954";"13,4556857";"+39 0922985337";"+39 0922985337";"";""
"IT-AG0053";"Biblioteca comunale";"Via Palestrina";"";"92021";"Aragona";"084003";"Agrigento";"SICILIA";"084";"37,4044279";"13,6184829";"+39 092237170";"";"";""
"IT-AG0058";"Biblioteca comunale";"Via Cavallotti n. 9";"";"92024";"Canicattì";"084011";"Agrigento";"SICILIA";"084";"37,3585183";"13,8492265";"+39 0922734505";"+39 0922734504";"";""
"IT-AG0060";"Biblioteca Comunale";"Via Roma 4";"";"92025";"Casteltermini";"084012";"Agrigento";"SICILIA";"084";"37,5405211";"13,6400753";"+39 0922929028";"";"biblio.casteltermini@virgilio.it";""
"IT-AG0064";"Biblioteca comunale";"Piazza della Repubblica 7";"";"92010";"Montevago";"084025";"Agrigento";"SICILIA";"084";"37,7026377";"12,9901325";"+39 092538008";"+39 092538689";"";""
"IT-AG0065";"Biblioteca Comunale Giovanni Falcone";"Via Carlo Marx n. 3";"";"92020";"Palma di Montechiaro";"084027";"Agrigento";"SICILIA";"084";"37,1895107";"13,7694488";"+39 0922968399";"+39 0922968399";"biblioteca@comune.palmadimontechiaro.ag.it";""
"IT-AG0066";"Biblioteca comunale";"Palazzo comunale - Via Roma";"";"92014";"Porto Empedocle";"084028";"Agrigento";"SICILIA";"084";"37,2885843";"13,5280378";"+39 0922637837";"";"";""
"IT-AG0067";"Biblioteca comunale";"Via Messana";"";"92020";"Racalmuto";"084029";"Agrigento";"SICILIA";"084";"37,4069215";"13,7327047";"+39 0922941852";"";"";""
"IT-AG0068";"Biblioteca popolare Virtus Matrice";"Via della Repubblica 2";"";"92020";"Racalmuto";"084029";"Agrigento";"SICILIA";"084";"37,40868";"13,732503";"+39 0922948028";"";"";""
"IT-AG0069";"Biblioteca comunale";"Via Nazionale";"";"92015";"Raffadali";"084030";"Agrigento";"SICILIA";"084";"37,4097845";"13,5275723";"+39 0922472244";"";"";""
"IT-AG0070";"Biblioteca comunale";"Corso della Repubblica";"";"92029";"Ravanusa";"084031";"Agrigento";"SICILIA";"084";"37,2679233";"13,9750838";"+39 0922874221";"";"";""
"IT-AG0071";"Biblioteca comunale Antonio Gramsci";"Piazza Duomo";"";"92016";"Ribera";"084033";"Agrigento";"SICILIA";"084";"37,5024753";"13,2659348";"+39 092561675";"";"";""
"IT-AG0072";"Biblioteca comunale";"Corso Umberto 45";"";"92020";"Santa Elisabetta";"084037";"Agrigento";"SICILIA";"084";"37,431386";"13,558815";"+39 0922479169";"";"";""
"IT-AG0078";"Biblioteca della Provincia regionale di Agrigento";"Piazzale A. Moro 3";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3095106";"13,5860526";"";"";"biblioteca@provincia.agrigento.it";""
"IT-AG0079";"Biblioteca comunale Santo Spirito. Sezione esterna di Fontanelle";"Via Fontanelle 33  - presso Centro civico commerciale";"Fontanelle";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3374874377752";"13,5837707552948";"";"";"";""
"IT-AG0085";"Biblioteca Lucchesiana";"Via Duomo 94";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3135702";"13,577717";"+39 092222217";"";"";""
"IT-AG0087";"Biblioteca dell'Opera Pia Villa Betania";"Via C. Marx 2";"Villaseta";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,2966933";"13,5661325";"+39 0922597777";"";"";""
"IT-AG0089";"Biblioteca Comunale L. Vitali";"Piazza Progresso n. 10";"";"92027";"Licata";"084021";"Agrigento";"SICILIA";"084";"37,1011276";"13,9374357";"+39 0922868228";"+39 09221837304";"urp@comune.licata.ag.it";""
"IT-AG0090";"Biblioteca comunale";"Via Sammarco 1";"";"92023";"Campobello di Licata";"084010";"Agrigento";"SICILIA";"084";"37,2560726";"13,9187469";"+39 0922879246";"";"";""
"IT-AG0091";"Biblioteca Museo Luigi Pirandello";"Via Imera 50";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3124703";"13,5857746";"+39 0922622111";"+39 092221774";"brs.museo.ag.uo2@regione.sicilia.it";"http://www.regione.sicilia.it/beniculturali/dirbenicult/biblioteche/biblioteche.html#biblioag"
"IT-AG0092";"Biblioteca della Comunità Cristiani nel mondo";"Via Piersanti Mattorella 2";"";"92026";"Favara";"084017";"Agrigento";"SICILIA";"084";"37,3510809";"13,750604";"+39 092231444";"+39 0322438880";"cristianinelmondo@inwind.it";""
"IT-AG0093";"Biblioteca della Fondazione Leonardo Sciascia";"V.le della vittoria, 3";"";"92020";"Racalmuto";"084029";"Agrigento";"SICILIA";"084";"37,4059861";"13,7309295";"+39 0922941993";"+39 0922941993";"bibliotecafondazione@alice.it";"http://www.fondazioneleonardosciascia.it/cms/--/home.htm"
"IT-AG0094";"Biblioteca Verba volant";"Via Acrone 23";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3089681";"13,5834971";"";"";"";""
"IT-AG0095";"Biblioteca dell'Istituto Comprensivo Anna Frank";"Via Matteo Cimarra, 5/a";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3208802";"13,5821441";"+39 0922603198";"+39 0922603167";"agic820005@istruzione.it";""
"IT-AG0096";"Biblioteca del Circolo didattico S.G. Bosco";"Via Dante 258";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,311634";"13,5705384";"+39 092220717";"";"sg.bosco@tin.it";""
"IT-AG0097";"Biblioteca dell'Istituto professionale per i servizi commerciali e turistici Nicolò Gallo";"Via Regione siciliana";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3211324";"13,5782564";"+39 0922602467";"";"agrc01000l@istruzione.it";"http://www.ipsctgallo.it/index.asp"
"IT-AG0098";"Biblioteca Comunale";"Via Vittorio Veneto";"";"92020";"Camastra";"084008";"Agrigento";"SICILIA";"084";"37,2534645";"13,792158";"+39 0922950572";"+39 0922950680";"incardonarosa@virgilio.it";""
"IT-AG0099";"Biblioteca della Fondazione Giovanni Guarino Amella";"Contrada Montagna c.p. 1311";"Villa del Buon Riposo";"64100";"Canicattì";"084011";"Agrigento";"SICILIA";"084";"37,3586112";"13,8477121";"+39 0922855200";"+39 0916197250";"+39 0922855200";"+39 0922855200"
"IT-AG0134";"Biblioteca del Polo didattico di Agrigento. Università degli studi di Palermo";"Via Ugo La Malfa";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3020872850997";"13,5929968772461";"+39 0922403586";"";"bibliopolo.ag@unipa.it";"http://www.unipa.it/Biblioteca-del-Polo-Didattico-di-Agrigento/"
"IT-AL0001";"Biblioteca civica";"Via Maggiorino Ferraris 15";"";"15011";"Acqui Terme";"006001";"Alessandria";"PIEMONTE";"006";"44,6775182";"8,4670569";"+39 0144770267";"+39 014457627";"al0001@biblioteche.reteunitaria.piemonte.it";""
"IT-AL0002";"Biblioteca civica Francesca Calvo";"Piazza Vittorio Veneto, 1";"";"15121";"Alessandria";"006003";"Alessandria";"PIEMONTE";"006";"44,9114484";"8,6193907";"+39 0131515911";"+39 0131515902";"biblioteca.civica@comune.alessandria.it";"http://www.comune.alessandria.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/1315"
"IT-AL0003";"Biblioteca dell'Archivio di Stato di Alessandria";"Via G. Solero 43";"";"15100";"Alessandria";"006003";"Alessandria";"PIEMONTE";"006";"44,9137392";"8,6259887";"+39 0131252794";"+39 0131236048";"";""
"IT-AL0004";"Biblioteca diocesana del Seminario vescovile";"Via Inviziati, 1";"";"15121";"Alessandria";"006003";"Alessandria";"PIEMONTE";"006";"44,9169522";"8,6130294";"+39 339.2918439";"";"al0077@biblioteche.ruparpiemonte.it

        beniculturali@diocesialessandria.it";""
"IT-AL0006";"Biblioteca delle Societa' di storia, arte e archeologia per le province di Alessandria e Asti";"Via Plana 42";"";"15100";"Alessandria";"006003";"Alessandria";"PIEMONTE";"006";"44,9148321";"8,6186655";"+39 0131264497";"";"";""
"IT-AL0007";"Biblioteca della Camera di commercio, industria, artigianato e agricoltura - CCIAA";"Via San Lorenzo 21";"";"15100";"Alessandria";"006003";"Alessandria";"PIEMONTE";"006";"44,9130405";"8,614091";"+39 0131313221";"+39 013143186";"";""
"IT-AL0008";"Biblioteca civica";"Via Roma 6";"";"15021";"Alfiano Natta";"006004";"Alessandria";"PIEMONTE";"006";"45,0470654";"8,2085733";"+39 0141922123";"+39 0141922123";"";""
"IT-AL0011";"Biblioteca civica";"Piazza S. Bertelli 21";"";"15061";"Arquata Scrivia";"006009";"Alessandria";"PIEMONTE";"006";"44,6866952";"8,8862294";"+39 0143600427";"+39 0143600417";"";""
"IT-AL0013";"Biblioteca civica";"Via Cavour 6";"";"15042";"Bassignana";"006013";"Alessandria";"PIEMONTE";"006";"45,003353";"8,73610699999995";"+39 013196112";"+39 013196619";"";""
"IT-AL0014";"Biblioteca civica";"Corso Carlo Testa 3";"";"15012";"Bistagno";"006017";"Alessandria";"PIEMONTE";"006";"44,6602097";"8,3699538";"+39 014479301";"+39 014479865";"";""
"IT-AL0015";"Biblioteca civica";"Piazza Europa, 13";"";"15060";"Borghetto di Borbera";"006018";"Alessandria";"PIEMONTE";"006";"44,7309963";"8,9452855";"+39 014369101";"+39 0143697298";"";""
"IT-AL0016";"Biblioteca civica Pio e Ildegarda Occella";"Via L. Verde";"";"15062";"Bosco Marengo";"006021";"Alessandria";"PIEMONTE";"006";"44,822143";"8,676652";"+39 0131299342";"+39 0131299686";"";""
"IT-AL0017";"Biblioteca civica";"Via Umberto I  50";"";"15060";"Bosio";"006022";"Alessandria";"PIEMONTE";"006";"44,6469431";"8,7911112";"+39 0143684536";"";"";""
"IT-AL0020";"Biblioteca civica Ferrero";"Piazza Municipio 6";"";"15071";"Carpeneto";"006033";"Alessandria";"PIEMONTE";"006";"44,5627149";"9,2176371";"+39 014385123";"";"";""
"IT-AL0021";"Biblioteca civica Fedele Barco";"Piazza San Carlo 8";"";"15072";"Casal Cermelli";"006037";"Alessandria";"PIEMONTE";"006";"44,8351618";"8,6260029";"+39 0131279575";"";"";""
"IT-AL0024";"Biblioteca del Seminario vescovile";"Piazza Calabiana, 1";"";"15033";"Casale Monferrato";"006039";"Alessandria";"PIEMONTE";"006";"45,1375546";"8,4546372";"+39 0142.455833";"";"biblsem@virgilio.it";"http://www.regione.piemonte.it/cultura/ricerca/biblioteche/sbn.htm?biblio=24216"
"IT-AL0026";"Biblioteca civica";"Piazza XXVI Aprile 8";"";"15063";"Cassano Spinola";"006042";"Alessandria";"PIEMONTE";"006";"44,766162";"8,863507";"+39 014347117";"+39 0143477285";"";""
"IT-AL0027";"Biblioteca civica";"Via IV Marzo 13/a";"";"15016";"Cassine";"006043";"Alessandria";"PIEMONTE";"006";"44,749645";"8,527466";"+39 014471009";"+39 0144714258";"";""
"IT-AL0029";"Biblioteca civica";"Piazza San Tommaso 1";"";"15050";"Castellar Guidobono";"006046";"Alessandria";"PIEMONTE";"006";"44,90638";"8,94657";"";"+39 0131898053";"";""
"IT-AL0030";"Biblioteca civica Francesco Poggio";"Via XXV Aprile 44";"";"15073";"Castellazzo Bormida";"006047";"Alessandria";"PIEMONTE";"006";"44,845581";"8,577113";"+39 0131272832";"+39 0131270774";"";""
"IT-AL0031";"Biblioteca civica";"Piazza G. Marconi 1";"";"15060";"Castelletto d'Orba";"006049";"Alessandria";"PIEMONTE";"006";"44,6703782";"8,7298766";"+39 0143830032";"";"";""
"IT-AL0032";"Biblioteca civica";"Via Roma 42";"";"15017";"Castelnuovo Bormida";"006052";"Alessandria";"PIEMONTE";"006";"44,746248";"8,551308";"+39 0144714628";"";"";""
"IT-AL0033";"Biblioteca civica Pier Angelo Soldini";"Via G. Garibaldi 49";"";"15053";"Castelnuovo Scrivia";"006053";"Alessandria";"PIEMONTE";"006";"44,9798479";"8,8810753";"+39 0131826754";"+39 0131823088";"";""
"IT-AL0034";"Biblioteca civica";"Piazza Boccasso 3";"";"15070";"Castelspina";"006054";"Alessandria";"PIEMONTE";"006";"44,8042668";"8,5829296";"+39 0131700144";"";"";""
"IT-AL0036";"Biblioteca civica";"Via Francia 12";"";"15034";"Cella Monte";"006056";"Alessandria";"PIEMONTE";"006";"45,0741078";"8,3918688";"+39 0142488161";"";"";""
"IT-AL0037";"Biblioteca civica";"Via Roma 32";"";"15020";"Cereseto";"006057";"Alessandria";"PIEMONTE";"006";"45,0861082";"8,3168437";"+39 0142940185";"+39 0142940185";"";""
"IT-AL0038";"Biblioteca civica";"Via C. Vidua 10";"";"15030";"Conzano";"006061";"Alessandria";"PIEMONTE";"006";"45,0208632";"8,454491";"+39 0142925132";"";"";""
"IT-AL0039";"Biblioteca civica";"Piazza del Municipio 6";"";"15040";"Frassineto Po";"006073";"Alessandria";"PIEMONTE";"006";"45,134055";"8,5360909";"+39 0142482413";"+39 0142482593";"";""
"IT-AL0040";"Biblioteca civica";"Via San Pio V";"";"15065";"Frugarolo";"006075";"Alessandria";"PIEMONTE";"006";"44,8379796";"8,6805468";"+39 0131296022";"+39 0131296023";"";""
"IT-AL0041";"Biblioteca civica";"Via Pavaranza 2";"";"15043";"Fubine";"006076";"Alessandria";"PIEMONTE";"006";"44,96541";"8,4255838";"+39 0131778121";"+39 0131778700";"";""
"IT-AL0042";"Biblioteca civica Giovanni Canna";"Piazza Europa 4";"";"15020";"Gabiano";"006077";"Alessandria";"PIEMONTE";"006";"45,1590286";"8,1935431";"+39 0142945001";"+39 0142945622";"";""
"IT-AL0046";"Biblioteca civica Giuseppe Boffito";"Via G. Garibaldi 44";"";"15066";"Gavi";"006081";"Alessandria";"PIEMONTE";"006";"44,6889274";"8,8036272";"+39 0143642712";"";"";""
"IT-AL0047";"Biblioteca comunale";"Via Pasquarelli, 2";"";"15036";"Giarole";"006082";"Alessandria";"PIEMONTE";"006";"45,0594224";"8,56782720000001";"";"+39 014268388";"demografici@comune.giarole.al.it";""
"IT-AL0048";"Biblioteca civica";"Piazza G. Marconi 17";"";"15040";"Mirabello Monferrato";"006094";"Alessandria";"PIEMONTE";"006";"45,0357034";"8,5229468";"+39 014263121";"";"";""
"IT-AL0049";"Biblioteca del Santuario di Nostra Signora delle Rocche";"Santuario delle Rocche";"";"15074";"Molare";"006095";"Alessandria";"PIEMONTE";"006";"44,600758";"8,5875915";"+39 014388146";"";"";""
"IT-AL0050";"Biblioteca civica";"Via Raggi 25";"";"15074";"Molare";"006095";"Alessandria";"PIEMONTE";"006";"44,6196939";"8,5994867";"+39 0143888117";"";"";""
"IT-AL0053";"Biblioteca civica";"Piazza Giovanni XXIII";"";"15010";"Montaldo Bormida";"006104";"Alessandria";"PIEMONTE";"006";"44,6833554";"8,5888278";"+39 014385343";"+39 014385201";"";""
"IT-AL0054";"Biblioteca civica";"Via Nazionale 14";"";"15010";"Montechiaro d'Acqui";"006106";"Alessandria";"PIEMONTE";"006";"44,5991038";"8,353051";"+39 014492058";"+39 0144321519";"";""
"IT-AL0055";"Biblioteca civica Giuseppe Piotta";"Via G. Marconi 1";"";"15025";"Morano sul Po";"006109";"Alessandria";"PIEMONTE";"006";"45,1637146";"8,3660303";"+39 014285123";"+39 014285601";"";""
"IT-AL0056";"Biblioteca civica Rosanna Benzi";"Via Roma 1";"";"15010";"Morbello";"006110";"Alessandria";"PIEMONTE";"006";"44,6035985";"8,5102163";"+39 0144768146";"+39 0144768277";"";""
"IT-AL0058";"Biblioteca civica";"Piazza Vittorio Emanuele II - presso il Castello";"";"15010";"Morsasco";"006112";"Alessandria";"PIEMONTE";"006";"44,6664808255252";"8,55155531139224";"+39 014473022";"+39 014473140";"";""
"IT-AL0059";"Biblioteca civica";"Piazza della Vittoria";"";"15020";"Murisengo";"006113";"Alessandria";"PIEMONTE";"006";"45,0835502";"8,1374019";"+39 0141993041";"+39 0141993759";"";""
"IT-AL0060";"Biblioteca civica";"Via G. Marconi, 66";"";"15067";"Novi Ligure";"006114";"Alessandria";"PIEMONTE";"006";"44,7611125";"8,7829103";"+39 014376246";"+39 014372592";"";""
"IT-AL0062";"Biblioteca civica";"Piazza Carlo Alberto 1";"";"15040";"Occimiano";"006115";"Alessandria";"PIEMONTE";"006";"45,0599293";"8,5068152";"+39 0142809131";"+39 0142809100";"";""
"IT-AL0063";"Biblioteca civica";"Piazza S. Defendente 2";"";"15020";"Odalengo Grande";"006116";"Alessandria";"PIEMONTE";"006";"45,1093802";"8,1666328";"+39 0142949021";"+39 0142949229";"";""
"IT-AL0067";"Biblioteca civica";"Via S. Maria 1";"";"15039";"Ozzano Monferrato";"006123";"Alessandria";"PIEMONTE";"006";"45,1018158";"8,3764622";"+39 0142487153";"+39 0142487038";"";""
"IT-AL0068";"Biblioteca civica";"Via Mioglia 24";"";"15010";"Pareto";"006125";"Alessandria";"PIEMONTE";"006";"44,5138669";"8,3856667";"+39 019721044";"+39 019721044";"";""
"IT-AL0070";"Biblioteca civica Federico Ragni";"Piazza San Giovanni 5";"";"15040";"Piovera";"006130";"Alessandria";"PIEMONTE";"006";"44,9593205";"8,7348802";"+39 0131698121";"+39 0131698070";"";""
"IT-AL0071";"Biblioteca civica";"Piazza G. Matteotti 1";"";"15055";"Pontecurone";"006132";"Alessandria";"PIEMONTE";"006";"44,9604549";"8,9326546";"+39 0131886990";"+39 0131886929";"";""
"IT-AL0072";"Biblioteca civica";"Piazza Castello 20";"";"15027";"Pontestura";"006133";"Alessandria";"PIEMONTE";"006";"45,1434752";"8,333294";"+39 0142466134";"+39 0142466867";"";""
"IT-AL0073";"Biblioteca civica Tommaso e Angiolina Battaglia";"Piazza Italia";"";"15010";"Ponzone";"006136";"Alessandria";"PIEMONTE";"006";"44,5882327";"8,4586825";"+39 014478103";"+39 014478362";"";""
"IT-AL0074";"Biblioteca antica del Castello";"Piazza Castello 1";"";"15068";"Pozzolo Formigaro";"006138";"Alessandria";"PIEMONTE";"006";"44,7934548";"8,7815595";"+39 0143417893";"";"";""
"IT-AL0075";"Biblioteca civica Caterina De Marco";"Piazza Castello 1";"";"15068";"Pozzolo Formigaro";"006138";"Alessandria";"PIEMONTE";"006";"44,7934548";"8,7815595";"+39 0143417054";"+39 0143418872";"";""
"IT-AL0077";"Biblioteca civica";"Via Roma 2";"";"15010";"Prasco";"006139";"Alessandria";"PIEMONTE";"006";"44,640893";"8,553234";"+39 0144375703";"";"";""
"IT-AL0078";"Biblioteca civica A. Pesce";"Piazza G. Matteotti 8";"";"15077";"Predosa";"006140";"Alessandria";"PIEMONTE";"006";"44,7525854";"8,6583719";"+39 013171224";"+39 013171644";"";""
"IT-AL0080";"Biblioteca civica";"Via Vittorio Emanuele II  2";"";"15010";"Rivalta Bormida";"006144";"Alessandria";"PIEMONTE";"006";"44,7112345";"8,5504276";"+39 0144372163";"+39 0144372644";"";""
"IT-AL0082";"Biblioteca civica";"Piazza Vittorio Veneto 1";"";"15078";"Rocca Grimalda";"006147";"Alessandria";"PIEMONTE";"006";"44,671213";"8,6477403";"+39 0143873121";"+39 0143873494";"";""
"IT-AL0084";"Biblioteca civica";"Via Roma 1";"";"15030";"Sala Monferrato";"006150";"Alessandria";"PIEMONTE";"006";"45,0754056";"8,3581766";"+39 0142486721";"+39 0142486721";"";""
"IT-AL0085";"Biblioteca civica Alessandro Molinari";"Via G. Bruno 13";"";"15045";"Sale";"006151";"Alessandria";"PIEMONTE";"006";"44,981598";"8,810068";"+39 013184178";"+39 0131828584";"biblioteca@comune.sale.al.it";""
"IT-AL0086";"Biblioteca civica";"Piazza della Chiesa 1";"";"15020";"San Giorgio Monferrato";"006153";"Alessandria";"PIEMONTE";"006";"45,1077481";"8,4144266";"+39 0142806121";"+39 0142806184";"";""
"IT-AL0087";"Biblioteca comunale "Domenico Fava"";"Via Cavalli 2";"";"15046";"San Salvatore Monferrato";"006154";"Alessandria";"PIEMONTE";"006";"44,9945499886812";"8,567960777385";"+39 0131238537";"+39 0131238208";"biblioteca@comune.sansalvatoremonferrato.al.it";"http://www.ssalvatoreinrete.it/pagina.aspx?IDPagina=63"
